Well,Stain,Group
B2,S. cerevisiae,6h
B3,S. cerevisiae,6h
B4,S. cerevisiae,6h
B5,S. cerevisiae,6h
C2,S. cerevisiae,4h
C3,S. cerevisiae,4h
C4,S. cerevisiae,4h
C5,S. cerevisiae,4h
D2,S. cerevisiae,3h
D3,S. cerevisiae,3h
D4,S. cerevisiae,3h
D5,S. cerevisiae,3h
E2,S. cerevisiae,2h
E3,S. cerevisiae,2h
E4,S. cerevisiae,2h
E5,S. cerevisiae,2h
F2,S. cerevisiae,1h
F3,S. cerevisiae,1h
F4,S. cerevisiae,1h
F5,S. cerevisiae,1h
G2,S. cerevisiae,0.5h
G3,S. cerevisiae,0.5h
G4,S. cerevisiae,0.5h
G5,S. cerevisiae,0.5h
H2,S. cerevisiae,0h
H3,S. cerevisiae,0h
H4,S. cerevisiae,0h
H5,S. cerevisiae,0h
B7,C. glabrata,6h
B8,C. glabrata,6h
B9,C. glabrata,6h
B10,C. glabrata,6h
C7,C. glabrata,4h
C8,C. glabrata,4h
C9,C. glabrata,4h
C10,C. glabrata,4h
D7,C. glabrata,3h
D8,C. glabrata,3h
D9,C. glabrata,3h
D10,C. glabrata,3h
E7,C. glabrata,2h
E8,C. glabrata,2h
E9,C. glabrata,2h
E10,C. glabrata,2h
F7,C. glabrata,1h
F8,C. glabrata,1h
F9,C. glabrata,1h
F10,C. glabrata,1h
G7,C. glabrata,0.5h
G8,C. glabrata,0.5h
G9,C. glabrata,0.5h
G10,C. glabrata,0.5h
H7,C. glabrata,0h
H8,C. glabrata,0h
H9,C. glabrata,0h
H10,C. glabrata,0h
