Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:09:10,0.086,0.086,0.095,0.09,0.089,0.085,0.089,0.087,0.091,0.088,0.087,0.09,0.086,0.114,0.121,0.123,0.121,0.088,0.158,0.154,0.158,0.155,0.09,0.085,0.089,0.121,0.123,0.133,0.135,0.087,0.133,0.134,0.139,0.136,0.094,0.086,0.103,0.125,0.121,0.124,0.129,0.091,0.2,0.174,0.176,0.174,0.095,0.091,0.086,0.149,0.14,0.14,0.142,0.086,0.149,0.149,0.147,0.144,0.09,0.085,0.09,0.131,0.124,0.125,0.128,0.094,0.161,0.164,0.162,0.158,0.089,0.087,0.092,0.122,0.12,0.123,0.124,0.086,0.177,0.181,0.17,0.197,0.087,0.084,0.088,0.117,0.113,0.118,0.113,0.086,0.131,0.118,0.126,0.122,0.091,0.088
0:19:10,0.086,0.086,0.095,0.089,0.089,0.085,0.089,0.086,0.09,0.087,0.087,0.09,0.086,0.118,0.121,0.124,0.122,0.088,0.166,0.159,0.172,0.159,0.089,0.085,0.089,0.123,0.195,0.136,0.141,0.087,0.136,0.142,0.143,0.139,0.094,0.086,0.103,0.133,0.123,0.129,0.132,0.091,0.221,0.175,0.182,0.178,0.095,0.091,0.086,0.15,0.144,0.147,0.148,0.086,0.153,0.153,0.158,0.148,0.089,0.085,0.089,0.132,0.126,0.132,0.138,0.094,0.164,0.17,0.167,0.162,0.089,0.087,0.092,0.131,0.124,0.13,0.125,0.086,0.177,0.191,0.174,0.206,0.087,0.084,0.088,0.116,0.114,0.118,0.116,0.086,0.132,0.119,0.129,0.123,0.092,0.088
0:29:10,0.086,0.086,0.094,0.089,0.089,0.085,0.089,0.086,0.091,0.087,0.087,0.09,0.086,0.126,0.131,0.127,0.126,0.089,0.172,0.167,0.178,0.164,0.089,0.085,0.089,0.125,0.187,0.14,0.147,0.087,0.139,0.147,0.144,0.145,0.093,0.086,0.103,0.13,0.127,0.131,0.134,0.09,0.232,0.183,0.188,0.182,0.094,0.091,0.086,0.158,0.148,0.153,0.152,0.087,0.161,0.156,0.158,0.153,0.089,0.085,0.091,0.133,0.13,0.141,0.14,0.095,0.168,0.175,0.173,0.168,0.089,0.087,0.092,0.136,0.132,0.129,0.134,0.086,0.186,0.202,0.187,0.21,0.087,0.083,0.089,0.124,0.115,0.12,0.12,0.086,0.137,0.13,0.131,0.125,0.092,0.088
0:39:10,0.086,0.086,0.095,0.089,0.089,0.085,0.089,0.086,0.09,0.087,0.087,0.09,0.086,0.121,0.126,0.13,0.13,0.089,0.176,0.17,0.187,0.169,0.089,0.085,0.089,0.127,0.186,0.143,0.147,0.087,0.144,0.15,0.149,0.149,0.093,0.086,0.103,0.14,0.129,0.134,0.141,0.092,0.238,0.189,0.2,0.191,0.095,0.092,0.086,0.163,0.154,0.156,0.158,0.087,0.166,0.162,0.163,0.157,0.09,0.085,0.089,0.135,0.133,0.145,0.149,0.096,0.179,0.178,0.184,0.182,0.09,0.087,0.092,0.133,0.136,0.138,0.133,0.087,0.2,0.214,0.194,0.224,0.087,0.084,0.089,0.123,0.117,0.122,0.123,0.086,0.138,0.131,0.133,0.129,0.092,0.088
0:49:10,0.086,0.085,0.096,0.089,0.089,0.085,0.089,0.086,0.09,0.087,0.087,0.09,0.086,0.126,0.136,0.137,0.132,0.09,0.177,0.175,0.201,0.173,0.09,0.085,0.089,0.132,0.198,0.152,0.147,0.088,0.146,0.156,0.156,0.155,0.093,0.086,0.103,0.143,0.133,0.138,0.142,0.093,0.246,0.22,0.22,0.202,0.095,0.092,0.086,0.189,0.16,0.166,0.165,0.088,0.174,0.167,0.169,0.16,0.09,0.085,0.089,0.142,0.137,0.147,0.153,0.096,0.186,0.183,0.197,0.189,0.09,0.087,0.092,0.143,0.138,0.142,0.133,0.087,0.209,0.22,0.198,0.225,0.088,0.084,0.088,0.126,0.119,0.124,0.119,0.086,0.139,0.126,0.135,0.129,0.092,0.088
0:59:10,0.086,0.086,0.095,0.089,0.089,0.085,0.089,0.086,0.09,0.087,0.087,0.09,0.086,0.126,0.135,0.142,0.135,0.09,0.191,0.178,0.193,0.178,0.09,0.085,0.089,0.134,0.204,0.154,0.159,0.088,0.148,0.167,0.163,0.159,0.094,0.086,0.102,0.149,0.138,0.143,0.149,0.092,0.252,0.227,0.222,0.205,0.096,0.092,0.086,0.176,0.165,0.167,0.169,0.089,0.185,0.171,0.174,0.162,0.09,0.085,0.09,0.146,0.142,0.154,0.152,0.097,0.193,0.187,0.2,0.195,0.09,0.087,0.092,0.144,0.138,0.139,0.137,0.087,0.218,0.231,0.202,0.237,0.088,0.083,0.089,0.131,0.12,0.125,0.124,0.087,0.149,0.129,0.137,0.131,0.092,0.088
1:09:10,0.086,0.086,0.096,0.089,0.089,0.085,0.089,0.086,0.09,0.088,0.087,0.09,0.086,0.131,0.137,0.143,0.138,0.09,0.192,0.181,0.212,0.183,0.09,0.085,0.089,0.138,0.212,0.167,0.161,0.089,0.152,0.165,0.168,0.164,0.094,0.086,0.102,0.154,0.145,0.147,0.161,0.094,0.264,0.232,0.23,0.219,0.096,0.091,0.086,0.187,0.171,0.172,0.175,0.089,0.194,0.181,0.178,0.167,0.091,0.085,0.089,0.149,0.143,0.154,0.157,0.097,0.2,0.198,0.21,0.198,0.091,0.088,0.092,0.141,0.139,0.144,0.15,0.088,0.226,0.24,0.207,0.251,0.088,0.083,0.089,0.13,0.123,0.128,0.12,0.087,0.162,0.145,0.14,0.133,0.092,0.088
1:19:10,0.086,0.086,0.095,0.089,0.089,0.085,0.089,0.086,0.09,0.087,0.087,0.09,0.086,0.136,0.15,0.147,0.14,0.091,0.205,0.185,0.202,0.186,0.09,0.086,0.089,0.152,0.207,0.181,0.163,0.089,0.156,0.172,0.173,0.169,0.094,0.086,0.102,0.155,0.146,0.152,0.163,0.093,0.247,0.229,0.228,0.227,0.096,0.092,0.086,0.197,0.174,0.178,0.184,0.09,0.197,0.181,0.185,0.17,0.091,0.085,0.089,0.153,0.153,0.161,0.163,0.098,0.206,0.198,0.216,0.209,0.091,0.087,0.092,0.151,0.146,0.151,0.149,0.088,0.235,0.246,0.212,0.258,0.088,0.083,0.088,0.128,0.123,0.129,0.126,0.087,0.169,0.142,0.149,0.134,0.092,0.088
1:29:10,0.086,0.086,0.095,0.089,0.089,0.085,0.089,0.086,0.09,0.087,0.087,0.09,0.086,0.139,0.15,0.152,0.148,0.092,0.197,0.19,0.221,0.193,0.09,0.086,0.089,0.151,0.22,0.173,0.168,0.09,0.159,0.169,0.179,0.179,0.094,0.086,0.102,0.163,0.152,0.157,0.169,0.094,0.273,0.256,0.252,0.243,0.097,0.092,0.086,0.199,0.181,0.185,0.192,0.09,0.203,0.191,0.191,0.174,0.091,0.085,0.089,0.158,0.154,0.166,0.155,0.098,0.209,0.204,0.225,0.208,0.091,0.087,0.092,0.158,0.144,0.148,0.155,0.089,0.243,0.26,0.216,0.26,0.089,0.086,0.088,0.135,0.124,0.132,0.123,0.087,0.16,0.161,0.144,0.137,0.092,0.088
1:39:10,0.086,0.085,0.096,0.089,0.089,0.085,0.089,0.086,0.09,0.088,0.087,0.09,0.086,0.144,0.152,0.157,0.149,0.092,0.204,0.197,0.217,0.198,0.09,0.085,0.089,0.16,0.22,0.178,0.18,0.091,0.163,0.177,0.185,0.18,0.094,0.086,0.103,0.167,0.156,0.164,0.172,0.095,0.271,0.268,0.267,0.259,0.097,0.092,0.086,0.201,0.189,0.192,0.195,0.091,0.204,0.19,0.202,0.177,0.091,0.086,0.091,0.163,0.16,0.168,0.169,0.099,0.216,0.208,0.243,0.214,0.091,0.088,0.092,0.16,0.155,0.153,0.15,0.089,0.25,0.281,0.22,0.257,0.089,0.083,0.088,0.142,0.128,0.133,0.127,0.087,0.173,0.173,0.146,0.138,0.092,0.088
