Time,T° 600,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:09:10,30,0.298,0.095,0.09,0.091,0.098,0.09,0.084,0.083,0.085,0.086,0.086,0.09,0.097,0.262,0.225,0.219,0.217,0.086,0.207,0.204,0.198,0.176,0.09,0.085,0.088,0.231,0.24,0.226,0.219,0.1,0.25,0.233,0.235,0.231,0.093,0.084,0.089,0.149,0.144,0.151,0.166,0.091,0.177,0.167,0.158,0.17,0.094,0.085,0.087,0.22,0.209,0.19,0.181,0.084,0.227,0.179,0.177,0.168,0.091,0.098,0.089,0.089,0.089,0.093,0.088,0.087,0.09,0.09,0.088,0.092,0.102,0.086,0.087,0.09,0.088,0.089,0.086,0.092,0.089,0.091,0.085,0.088,0.107,0.086,0.088,0.087,0.086,0.089,0.086,0.086,0.085,0.083,0.087,0.083,0.086,0.086
0:19:10,30,0.26,0.096,0.09,0.091,0.091,0.089,0.085,0.083,0.083,0.086,0.088,0.091,0.097,0.277,0.241,0.228,0.233,0.086,0.223,0.215,0.209,0.187,0.09,0.085,0.088,0.245,0.249,0.242,0.232,0.1,0.264,0.258,0.254,0.247,0.094,0.084,0.088,0.152,0.15,0.158,0.177,0.091,0.186,0.177,0.167,0.175,0.094,0.085,0.087,0.233,0.225,0.196,0.19,0.084,0.243,0.191,0.189,0.177,0.09,0.098,0.088,0.09,0.088,0.093,0.088,0.087,0.09,0.09,0.088,0.092,0.103,0.085,0.087,0.089,0.088,0.089,0.086,0.092,0.089,0.091,0.085,0.088,0.107,0.086,0.087,0.087,0.086,0.089,0.085,0.086,0.085,0.083,0.086,0.083,0.086,0.086
0:29:10,30.1,0.218,0.096,0.09,0.091,0.091,0.089,0.085,0.083,0.084,0.086,0.087,0.091,0.097,0.299,0.261,0.248,0.257,0.086,0.222,0.231,0.227,0.198,0.09,0.085,0.088,0.27,0.271,0.259,0.248,0.1,0.272,0.27,0.266,0.257,0.094,0.084,0.089,0.163,0.161,0.164,0.16,0.091,0.199,0.18,0.175,0.183,0.094,0.085,0.087,0.245,0.239,0.204,0.196,0.084,0.253,0.202,0.197,0.193,0.091,0.098,0.089,0.09,0.089,0.093,0.088,0.087,0.09,0.091,0.088,0.092,0.103,0.085,0.087,0.089,0.088,0.089,0.086,0.092,0.089,0.091,0.085,0.088,0.107,0.086,0.087,0.088,0.086,0.089,0.085,0.086,0.085,0.083,0.086,0.083,0.086,0.086
0:39:10,30.1,0.202,0.096,0.09,0.091,0.091,0.089,0.085,0.083,0.084,0.086,0.087,0.091,0.097,0.317,0.278,0.262,0.283,0.086,0.245,0.246,0.237,0.211,0.091,0.085,0.088,0.279,0.287,0.269,0.265,0.1,0.286,0.286,0.282,0.276,0.094,0.085,0.088,0.175,0.168,0.173,0.169,0.091,0.209,0.215,0.195,0.196,0.094,0.085,0.087,0.259,0.252,0.215,0.205,0.084,0.267,0.215,0.207,0.205,0.091,0.098,0.089,0.09,0.088,0.093,0.088,0.088,0.09,0.091,0.088,0.092,0.103,0.085,0.087,0.089,0.088,0.089,0.086,0.092,0.09,0.091,0.085,0.088,0.107,0.086,0.087,0.088,0.086,0.089,0.085,0.086,0.085,0.084,0.086,0.083,0.086,0.086
0:49:10,30.1,0.182,0.096,0.09,0.091,0.092,0.089,0.085,0.083,0.084,0.086,0.087,0.092,0.098,0.332,0.293,0.283,0.295,0.086,0.261,0.255,0.253,0.225,0.091,0.085,0.088,0.295,0.298,0.286,0.28,0.1,0.305,0.3,0.299,0.288,0.094,0.085,0.088,0.184,0.178,0.183,0.177,0.091,0.214,0.247,0.255,0.26,0.094,0.086,0.087,0.273,0.265,0.223,0.216,0.084,0.281,0.226,0.224,0.211,0.091,0.098,0.089,0.09,0.088,0.093,0.088,0.088,0.091,0.091,0.088,0.092,0.103,0.085,0.087,0.09,0.088,0.09,0.087,0.093,0.09,0.091,0.085,0.088,0.107,0.086,0.087,0.087,0.086,0.091,0.085,0.086,0.085,0.084,0.086,0.083,0.086,0.086
0:59:10,30.1,0.167,0.096,0.09,0.091,0.092,0.089,0.085,0.083,0.084,0.086,0.087,0.092,0.097,0.344,0.304,0.288,0.31,0.086,0.274,0.269,0.263,0.236,0.091,0.085,0.088,0.311,0.318,0.309,0.293,0.1,0.317,0.316,0.318,0.3,0.095,0.085,0.088,0.196,0.188,0.194,0.188,0.091,0.226,0.278,0.269,0.273,0.094,0.085,0.087,0.29,0.279,0.236,0.228,0.084,0.293,0.244,0.234,0.226,0.091,0.098,0.089,0.09,0.088,0.093,0.089,0.088,0.091,0.091,0.088,0.092,0.103,0.085,0.087,0.089,0.088,0.09,0.087,0.093,0.09,0.091,0.085,0.088,0.107,0.086,0.087,0.088,0.086,0.092,0.085,0.086,0.085,0.084,0.086,0.083,0.086,0.086
1:09:10,30.1,0.152,0.096,0.09,0.091,0.092,0.089,0.085,0.083,0.084,0.086,0.087,0.092,0.098,0.366,0.313,0.294,0.313,0.087,0.281,0.276,0.271,0.246,0.091,0.085,0.088,0.324,0.326,0.325,0.309,0.1,0.329,0.327,0.323,0.314,0.095,0.085,0.089,0.199,0.206,0.205,0.195,0.092,0.237,0.292,0.28,0.284,0.094,0.085,0.087,0.303,0.292,0.248,0.24,0.085,0.31,0.25,0.255,0.233,0.091,0.098,0.089,0.091,0.088,0.093,0.089,0.088,0.091,0.092,0.089,0.092,0.103,0.085,0.087,0.09,0.088,0.09,0.087,0.093,0.09,0.091,0.085,0.088,0.107,0.086,0.087,0.087,0.086,0.089,0.085,0.086,0.085,0.084,0.086,0.083,0.086,0.086
1:19:10,30.1,0.152,0.096,0.09,0.091,0.092,0.089,0.085,0.083,0.084,0.086,0.087,0.092,0.098,0.374,0.334,0.309,0.327,0.087,0.288,0.282,0.279,0.257,0.091,0.085,0.088,0.328,0.342,0.331,0.316,0.101,0.343,0.342,0.337,0.329,0.095,0.085,0.088,0.21,0.226,0.21,0.205,0.092,0.262,0.304,0.27,0.283,0.094,0.085,0.087,0.319,0.309,0.261,0.254,0.085,0.325,0.264,0.277,0.248,0.091,0.098,0.089,0.091,0.088,0.093,0.089,0.089,0.092,0.092,0.089,0.092,0.103,0.085,0.087,0.09,0.088,0.09,0.087,0.093,0.09,0.092,0.085,0.088,0.107,0.086,0.089,0.087,0.086,0.092,0.086,0.086,0.085,0.084,0.086,0.083,0.086,0.086
1:29:10,30.1,0.131,0.096,0.09,0.091,0.092,0.089,0.085,0.083,0.084,0.086,0.087,0.092,0.097,0.393,0.354,0.328,0.349,0.087,0.295,0.288,0.284,0.264,0.091,0.085,0.088,0.356,0.346,0.345,0.333,0.101,0.355,0.37,0.352,0.341,0.095,0.085,0.088,0.216,0.23,0.219,0.216,0.092,0.257,0.307,0.295,0.308,0.094,0.085,0.087,0.337,0.326,0.276,0.267,0.085,0.341,0.279,0.268,0.256,0.092,0.098,0.088,0.091,0.088,0.093,0.089,0.089,0.092,0.092,0.089,0.092,0.103,0.085,0.087,0.089,0.088,0.09,0.087,0.093,0.09,0.092,0.085,0.088,0.107,0.085,0.087,0.087,0.086,0.092,0.085,0.086,0.085,0.084,0.086,0.083,0.086,0.086
1:39:10,30.1,0.124,0.096,0.09,0.092,0.092,0.089,0.085,0.083,0.084,0.086,0.087,0.092,0.097,0.423,0.343,0.324,0.356,0.086,0.307,0.293,0.293,0.274,0.092,0.085,0.088,0.356,0.366,0.386,0.342,0.101,0.368,0.372,0.364,0.352,0.095,0.085,0.089,0.224,0.233,0.226,0.225,0.092,0.268,0.314,0.292,0.308,0.094,0.085,0.087,0.355,0.342,0.292,0.279,0.086,0.359,0.292,0.281,0.295,0.091,0.098,0.089,0.091,0.088,0.093,0.089,0.089,0.092,0.092,0.089,0.092,0.103,0.085,0.087,0.09,0.088,0.09,0.087,0.093,0.09,0.092,0.086,0.088,0.107,0.085,0.087,0.087,0.086,0.089,0.085,0.086,0.085,0.084,0.086,0.083,0.086,0.086
