Well,Stain,condition
B2,S. cerevisiae,+Pi
B3,S. cerevisiae,+Pi
B4,S. cerevisiae,+Pi
B5,S. cerevisiae,+Pi
C2,C. glabrata,+Pi
C3,C. glabrata,+Pi
C4,C. glabrata,+Pi
C5,C. glabrata,+Pi
D2,K. lactis,+Pi
D3,K. lactis,+Pi
D4,K. lactis,+Pi
D5,K. lactis,+Pi
E2,C. albicans,+Pi
E3,C. albicans,+Pi
E4,C. albicans,+Pi
E5,C. albicans,+Pi
B7,S. cerevisiae,-Pi
B8,S. cerevisiae,-Pi
B9,S. cerevisiae,-Pi
B10,S. cerevisiae,-Pi
C7,C. glabrata,-Pi
C8,C. glabrata,-Pi
C9,C. glabrata,-Pi
C10,C. glabrata,-Pi
D7,K. lactis,-Pi
D8,K. lactis,-Pi
D9,K. lactis,-Pi
D10,K. lactis,-Pi
E7,C. albicans,-Pi
E8,C. albicans,-Pi
E9,C. albicans,-Pi
E10,C. albicans,-Pi
