Time,B2,B3,B4,B5,C2,C3,C4,C5,D2,D3,D4,D5,E2,E3,E4,E5,B7,B8,B9,B10,C7,C8,C9,C10,D7,D8,D9,D10,E7,E8,E9,E10
0:09:10,0.288,0.274,0.254,0.272,0.322,0.299,0.308,0.293,0.297,0.282,0.294,0.248,0.343,0.33,0.32,0.314,0.283,0.267,0.301,0.258,0.343,0.306,0.29,0.296,0.226,0.23,0.241,0.252,0.311,0.301,0.309,0.307
0:19:10,0.304,0.286,0.263,0.289,0.332,0.321,0.32,0.302,0.316,0.283,0.299,0.256,0.36,0.348,0.343,0.336,0.31,0.291,0.302,0.273,0.36,0.311,0.306,0.306,0.263,0.241,0.261,0.27,0.321,0.328,0.334,0.325
0:29:10,0.348,0.366,0.304,0.308,0.342,0.38,0.344,0.315,0.324,0.303,0.309,0.27,0.367,0.358,0.355,0.341,0.349,0.31,0.322,0.297,0.38,0.326,0.318,0.308,0.284,0.271,0.302,0.299,0.327,0.342,0.345,0.337
0:39:10,0.36,0.372,0.327,0.326,0.337,0.399,0.376,0.337,0.341,0.338,0.366,0.285,0.369,0.364,0.359,0.34,0.346,0.378,0.34,0.322,0.395,0.384,0.384,0.317,0.298,0.322,0.282,0.354,0.332,0.351,0.357,0.348
0:49:10,0.377,0.395,0.371,0.347,0.351,0.384,0.343,0.373,0.341,0.347,0.376,0.285,0.364,0.363,0.361,0.345,0.374,0.393,0.357,0.352,0.384,0.417,0.394,0.327,0.296,0.346,0.292,0.372,0.332,0.353,0.356,0.353
0:59:10,0.379,0.4,0.389,0.419,0.356,0.401,0.345,0.363,0.344,0.342,0.376,0.292,0.366,0.359,0.357,0.343,0.377,0.376,0.35,0.4,0.38,0.38,0.371,0.33,0.304,0.327,0.279,0.385,0.332,0.348,0.353,0.351
1:09:10,0.375,0.414,0.382,0.429,0.374,0.402,0.349,0.344,0.355,0.356,0.381,0.299,0.367,0.36,0.361,0.343,0.373,0.367,0.344,0.391,0.398,0.408,0.386,0.355,0.324,0.323,0.294,0.388,0.333,0.348,0.349,0.35
1:19:10,0.376,0.399,0.363,0.407,0.38,0.381,0.36,0.351,0.354,0.367,0.39,0.302,0.369,0.363,0.363,0.344,0.352,0.404,0.339,0.396,0.393,0.403,0.395,0.35,0.311,0.339,0.283,0.39,0.334,0.35,0.351,0.344
1:29:10,0.369,0.403,0.36,0.406,0.395,0.358,0.37,0.357,0.363,0.38,0.399,0.31,0.382,0.365,0.37,0.351,0.365,0.371,0.334,0.379,0.409,0.458,0.399,0.357,0.338,0.328,0.283,0.395,0.338,0.351,0.351,0.345
1:39:10,0.369,0.39,0.373,0.39,0.409,0.372,0.38,0.368,0.372,0.374,0.409,0.314,0.384,0.374,0.377,0.358,0.372,0.367,0.333,0.395,0.414,0.456,0.452,0.365,0.333,0.324,0.287,0.391,0.342,0.36,0.356,0.346
1:49:10,0.364,0.384,0.345,0.404,0.411,0.381,0.391,0.376,0.375,0.399,0.41,0.32,0.394,0.383,0.391,0.366,0.371,0.381,0.336,0.389,0.418,0.449,0.437,0.371,0.348,0.368,0.296,0.39,0.347,0.367,0.362,0.356
1:59:10,0.368,0.39,0.36,0.392,0.428,0.39,0.41,0.383,0.38,0.4,0.415,0.388,0.404,0.393,0.391,0.376,0.367,0.374,0.343,0.401,0.429,0.429,0.406,0.386,0.353,0.375,0.309,0.342,0.355,0.376,0.371,0.361
2:09:10,0.373,0.395,0.359,0.413,0.437,0.409,0.494,0.406,0.382,0.411,0.429,0.428,0.418,0.406,0.412,0.391,0.39,0.401,0.353,0.388,0.485,0.511,0.47,0.477,0.364,0.38,0.372,0.335,0.362,0.388,0.382,0.369
2:19:10,0.386,0.408,0.347,0.42,0.441,0.424,0.464,0.42,0.394,0.428,0.44,0.435,0.433,0.42,0.427,0.399,0.397,0.392,0.442,0.405,0.504,0.513,0.482,0.492,0.362,0.389,0.409,0.397,0.374,0.401,0.396,0.38
2:29:10,0.397,0.422,0.37,0.434,0.454,0.473,0.437,0.458,0.406,0.433,0.451,0.444,0.447,0.434,0.441,0.419,0.406,0.379,0.441,0.408,0.506,0.526,0.485,0.498,0.38,0.398,0.428,0.413,0.387,0.416,0.409,0.395
2:39:10,0.409,0.431,0.393,0.444,0.464,0.501,0.474,0.487,0.418,0.444,0.464,0.453,0.465,0.452,0.459,0.431,0.426,0.419,0.461,0.41,0.524,0.536,0.514,0.503,0.372,0.392,0.43,0.428,0.402,0.429,0.425,0.409
2:49:10,0.427,0.438,0.369,0.451,0.469,0.521,0.516,0.517,0.429,0.457,0.471,0.463,0.482,0.468,0.467,0.449,0.438,0.465,0.449,0.441,0.534,0.554,0.516,0.526,0.391,0.413,0.437,0.439,0.416,0.449,0.441,0.426
2:59:10,0.423,0.43,0.39,0.443,0.475,0.529,0.527,0.512,0.444,0.464,0.483,0.471,0.503,0.487,0.495,0.465,0.446,0.474,0.456,0.462,0.534,0.561,0.525,0.527,0.392,0.418,0.45,0.438,0.432,0.472,0.459,0.444
3:09:10,0.446,0.434,0.417,0.434,0.484,0.522,0.508,0.532,0.456,0.476,0.496,0.484,0.522,0.507,0.515,0.488,0.465,0.485,0.489,0.47,0.538,0.57,0.51,0.525,0.389,0.428,0.455,0.437,0.45,0.498,0.478,0.461
3:19:10,0.458,0.442,0.418,0.445,0.491,0.543,0.55,0.507,0.457,0.487,0.508,0.495,0.542,0.526,0.525,0.507,0.481,0.476,0.493,0.45,0.543,0.571,0.53,0.54,0.405,0.431,0.46,0.457,0.469,0.516,0.497,0.479
3:29:10,0.487,0.495,0.422,0.457,0.491,0.54,0.528,0.549,0.472,0.498,0.518,0.504,0.561,0.546,0.543,0.532,0.483,0.533,0.53,0.461,0.549,0.584,0.526,0.528,0.423,0.438,0.469,0.465,0.486,0.528,0.516,0.496
3:39:10,0.5,0.472,0.464,0.508,0.496,0.539,0.551,0.54,0.473,0.509,0.529,0.513,0.58,0.565,0.557,0.545,0.516,0.556,0.547,0.473,0.554,0.588,0.527,0.53,0.409,0.449,0.474,0.474,0.506,0.556,0.533,0.521
3:49:10,0.52,0.511,0.482,0.525,0.502,0.537,0.553,0.532,0.495,0.519,0.539,0.522,0.599,0.583,0.586,0.565,0.538,0.574,0.554,0.49,0.559,0.592,0.521,0.558,0.424,0.451,0.482,0.48,0.52,0.57,0.553,0.532
3:59:10,0.534,0.518,0.472,0.509,0.506,0.562,0.559,0.52,0.502,0.53,0.55,0.531,0.618,0.603,0.609,0.586,0.557,0.591,0.579,0.508,0.578,0.599,0.54,0.56,0.422,0.46,0.489,0.486,0.536,0.587,0.571,0.548
4:09:10,0.551,0.551,0.504,0.542,0.513,0.569,0.561,0.522,0.507,0.538,0.559,0.54,0.638,0.631,0.625,0.604,0.577,0.611,0.603,0.526,0.578,0.606,0.544,0.557,0.415,0.47,0.496,0.493,0.553,0.6,0.584,0.581
4:19:10,0.569,0.573,0.538,0.566,0.515,0.575,0.562,0.521,0.512,0.548,0.57,0.549,0.655,0.652,0.64,0.617,0.597,0.628,0.623,0.544,0.577,0.614,0.548,0.558,0.411,0.474,0.503,0.499,0.567,0.615,0.611,0.588
4:29:10,0.59,0.596,0.559,0.588,0.523,0.581,0.565,0.528,0.521,0.559,0.58,0.559,0.673,0.662,0.658,0.639,0.618,0.647,0.644,0.565,0.583,0.621,0.555,0.561,0.416,0.482,0.51,0.507,0.586,0.632,0.619,0.614
4:39:10,0.608,0.611,0.575,0.606,0.527,0.585,0.564,0.53,0.529,0.568,0.59,0.568,0.69,0.673,0.677,0.655,0.635,0.665,0.663,0.582,0.587,0.626,0.555,0.566,0.419,0.488,0.518,0.512,0.598,0.649,0.632,0.63
4:49:10,0.626,0.63,0.591,0.623,0.532,0.59,0.567,0.534,0.538,0.576,0.599,0.577,0.706,0.699,0.686,0.67,0.655,0.684,0.682,0.6,0.592,0.632,0.56,0.571,0.423,0.495,0.523,0.52,0.614,0.665,0.649,0.641
4:59:10,0.645,0.647,0.607,0.64,0.537,0.593,0.57,0.537,0.545,0.586,0.608,0.584,0.723,0.706,0.708,0.684,0.674,0.702,0.7,0.619,0.596,0.637,0.562,0.576,0.428,0.502,0.53,0.527,0.628,0.681,0.663,0.662
