Well,Stain,condition,replicate
B2,S. cerevisiae,-Pi,1
B3,S. cerevisiae,-Pi,1
B4,S. cerevisiae,-Pi,1
B5,S. cerevisiae,-Pi,1
C2,C. glabrata,-Pi,1
C3,C. glabrata,-Pi,1
C4,C. glabrata,-Pi,1
C5,C. glabrata,-Pi,1
D2,K. lactis,-Pi,1
D3,K. lactis,-Pi,1
D4,K. lactis,-Pi,1
D5,K. lactis,-Pi,1
E2,C. albicans,-Pi,1
E3,C. albicans,-Pi,1
E4,C. albicans,-Pi,1
E5,C. albicans,-Pi,1
B7,S. cerevisiae,-Pi,2
B8,S. cerevisiae,-Pi,2
B9,S. cerevisiae,-Pi,2
B10,S. cerevisiae,-Pi,2
C7,C. glabrata,-Pi,2
C8,C. glabrata,-Pi,2
C9,C. glabrata,-Pi,2
C10,C. glabrata,-Pi,2
D7,K. lactis,-Pi,2
D8,K. lactis,-Pi,2
D9,K. lactis,-Pi,2
D10,K. lactis,-Pi,2
E7,C. albicans,-Pi,2
E8,C. albicans,-Pi,2
E9,C. albicans,-Pi,2
E10,C. albicans,-Pi,2
