Time,B2,B3,B4,B5,C2,C3,C4,C5,D2,D3,D4,D5,E2,E3,E4,E5,B2,B3,B4,B5,C2,C3,C4,C5,D2,D3,D4,D5,E2,E3,E4,E5
0:09:10,0.318,0.305,0.292,0.24,0.333,0.361,0.309,0.246,0.362,0.35,0.257,0.237,0.319,0.337,0.328,0.289,0.188,0.206,0.201,0.178,0.229,0.245,0.228,0.19,0.119,0.118,0.119,0.121,0.257,0.242,0.243,0.243
0:19:10,0.323,0.308,0.285,0.242,0.333,0.366,0.316,0.258,0.395,0.365,0.274,0.236,0.346,0.336,0.332,0.323,0.195,0.217,0.211,0.187,0.241,0.253,0.239,0.196,0.139,0.123,0.142,0.131,0.268,0.255,0.256,0.257
0:29:10,0.353,0.325,0.308,0.261,0.351,0.387,0.324,0.265,0.407,0.369,0.281,0.255,0.371,0.349,0.34,0.355,0.202,0.225,0.22,0.194,0.253,0.265,0.243,0.197,0.159,0.133,0.15,0.126,0.286,0.263,0.265,0.263
0:39:10,0.356,0.391,0.327,0.308,0.415,0.446,0.344,0.283,0.478,0.443,0.281,0.264,0.378,0.359,0.349,0.394,0.228,0.228,0.23,0.201,0.261,0.277,0.254,0.208,0.15,0.144,0.155,0.128,0.297,0.278,0.271,0.269
0:49:10,0.367,0.401,0.333,0.343,0.409,0.476,0.413,0.298,0.478,0.44,0.308,0.275,0.38,0.368,0.359,0.395,0.24,0.243,0.234,0.214,0.267,0.284,0.264,0.21,0.149,0.148,0.134,0.132,0.31,0.273,0.283,0.283
0:59:10,0.344,0.411,0.355,0.37,0.395,0.474,0.377,0.301,0.479,0.416,0.363,0.354,0.393,0.348,0.366,0.369,0.27,0.279,0.241,0.215,0.283,0.321,0.273,0.218,0.161,0.153,0.131,0.138,0.311,0.286,0.293,0.284
1:09:10,0.347,0.411,0.387,0.348,0.394,0.478,0.411,0.327,0.437,0.456,0.373,0.355,0.425,0.388,0.375,0.434,0.264,0.297,0.251,0.219,0.313,0.362,0.288,0.234,0.18,0.159,0.139,0.144,0.315,0.288,0.3,0.291
1:19:10,0.349,0.411,0.399,0.361,0.459,0.517,0.459,0.384,0.442,0.464,0.383,0.301,0.411,0.379,0.384,0.407,0.264,0.317,0.291,0.226,0.357,0.37,0.3,0.242,0.178,0.17,0.194,0.15,0.316,0.302,0.31,0.304
1:29:10,0.354,0.388,0.344,0.373,0.469,0.527,0.448,0.392,0.457,0.474,0.391,0.337,0.422,0.414,0.4,0.438,0.277,0.331,0.304,0.231,0.373,0.385,0.313,0.255,0.169,0.174,0.184,0.157,0.335,0.31,0.328,0.308
1:39:10,0.378,0.408,0.353,0.357,0.461,0.557,0.489,0.407,0.478,0.47,0.403,0.335,0.412,0.429,0.454,0.443,0.271,0.314,0.322,0.246,0.392,0.381,0.345,0.264,0.188,0.171,0.189,0.163,0.337,0.313,0.332,0.316
