Well,Stain,Group
B2,K. lactis,6h
B3,K. lactis,6h
B4,K. lactis,6h
B5,K. lactis,6h
C2,K. lactis,4h
C3,K. lactis,4h
C4,K. lactis,4h
C5,K. lactis,4h
D2,K. lactis,3h
D3,K. lactis,3h
D4,K. lactis,3h
D5,K. lactis,3h
E2,K. lactis,2h
E3,K. lactis,2h
E4,K. lactis,2h
E5,K. lactis,2h
F2,K. lactis,1h
F3,K. lactis,1h
F4,K. lactis,1h
F5,K. lactis,1h
G2,K. lactis,0.5h
G3,K. lactis,0.5h
G4,K. lactis,0.5h
G5,K. lactis,0.5h
H2,K. lactis,0h
H3,K. lactis,0h
H4,K. lactis,0h
H5,K. lactis,0h
B7,C. albicans,6h
B8,C. albicans,6h
B9,C. albicans,6h
B10,C. albicans,6h
C7,C. albicans,4h
C8,C. albicans,4h
C9,C. albicans,4h
C10,C. albicans,4h
D7,C. albicans,3h
D8,C. albicans,3h
D9,C. albicans,3h
D10,C. albicans,3h
E7,C. albicans,2h
E8,C. albicans,2h
E9,C. albicans,2h
E10,C. albicans,2h
F7,C. albicans,1h
F8,C. albicans,1h
F9,C. albicans,1h
F10,C. albicans,1h
G7,C. albicans,0.5h
G8,C. albicans,0.5h
G9,C. albicans,0.5h
G10,C. albicans,0.5h
H7,C. albicans,0h
H8,C. albicans,0h
H9,C. albicans,0h
H10,C. albicans,0h
