Date	Species	Treatment	Replicate	Time_hrs	perc_G0_G1
20240702	S. cerevisiae	7.5 mM Pi	1	0	36.82
20240702	S. cerevisiae	7.5 mM Pi	1	0.5	48.08
20240702	S. cerevisiae	7.5 mM Pi	1	1	43.39
20240702	S. cerevisiae	7.5 mM Pi	1	2	38.54
20240702	S. cerevisiae	7.5 mM Pi	1	3	29.04
20240702	S. cerevisiae	7.5 mM Pi	1	4	33.82
20240702	S. cerevisiae	7.5 mM Pi	1	5	33.83
20240702	S. cerevisiae	7.5 mM Pi	1	6	37.71
20240702	S. cerevisiae	7.5 mM Pi	2	0	38.72
20240702	S. cerevisiae	7.5 mM Pi	2	0.5	43.58
20240702	S. cerevisiae	7.5 mM Pi	2	1	43.46
20240702	S. cerevisiae	7.5 mM Pi	2	2	44.06
20240702	S. cerevisiae	7.5 mM Pi	2	3	31.8
20240702	S. cerevisiae	7.5 mM Pi	2	4	34.71
20240702	S. cerevisiae	7.5 mM Pi	2	5	32.56
20240702	S. cerevisiae	7.5 mM Pi	2	6	46.59
20240702	S. cerevisiae	7.5 mM Pi	3	0	36.27
20240702	S. cerevisiae	7.5 mM Pi	3	0.5	49.54
20240702	S. cerevisiae	7.5 mM Pi	3	1	54.28
20240702	S. cerevisiae	7.5 mM Pi	3	2	35.27
20240702	S. cerevisiae	7.5 mM Pi	3	3	33.24
20240702	S. cerevisiae	7.5 mM Pi	3	4	29.09
20240702	S. cerevisiae	7.5 mM Pi	3	5	32.73
20240702	S. cerevisiae	7.5 mM Pi	3	6	30.89
20241124	C. glabrata	0 mM Pi	1	0	27.8
20241124	C. glabrata	0 mM Pi	1	0.5	12.7
20241124	C. glabrata	0 mM Pi	1	1	14.8
20241124	C. glabrata	0 mM Pi	1	1.5	30.9
20241124	C. glabrata	0 mM Pi	1	2	46.2
20241124	C. glabrata	0 mM Pi	1	3	58.9
20241124	C. glabrata	0 mM Pi	1	4	63.1
20241124	C. glabrata	0 mM Pi	1	5	66.7
20241124	C. glabrata	0 mM Pi	1	6	77.7
20241124	C. glabrata	0 mM Pi	2	0	26.5
20241124	C. glabrata	0 mM Pi	2	0.5	10.2
20241124	C. glabrata	0 mM Pi	2	1	9.8
20241124	C. glabrata	0 mM Pi	2	1.5	26
20241124	C. glabrata	0 mM Pi	2	2	35.7
20241124	C. glabrata	0 mM Pi	2	3	47.8
20241124	C. glabrata	0 mM Pi	2	4	64.6
20241124	C. glabrata	0 mM Pi	2	5	71.9
20241124	C. glabrata	0 mM Pi	2	6	77.5
20241124	C. glabrata	0 mM Pi	3	0	25.5
20241124	C. glabrata	0 mM Pi	3	0.5	12.5
20241124	C. glabrata	0 mM Pi	3	1	12
20241124	C. glabrata	0 mM Pi	3	1.5	22.2
20241124	C. glabrata	0 mM Pi	3	2	41.3
20241124	C. glabrata	0 mM Pi	3	3	51.5
20241124	C. glabrata	0 mM Pi	3	4	58.1
20241124	C. glabrata	0 mM Pi	3	5	67.2
20241124	C. glabrata	0 mM Pi	3	6	65.3
20240702	C. glabrata	7.5 mM Pi	1	0	21.39
20240702	C. glabrata	7.5 mM Pi	1	0.5	11.87
20240702	C. glabrata	7.5 mM Pi	1	1	20.74
20240702	C. glabrata	7.5 mM Pi	1	2	17.55
20240702	C. glabrata	7.5 mM Pi	1	3	14.79
20240702	C. glabrata	7.5 mM Pi	1	4	18.36
20240702	C. glabrata	7.5 mM Pi	1	5	43.48
20240702	C. glabrata	7.5 mM Pi	1	6	74.906
20240702	C. glabrata	7.5 mM Pi	2	0	21.307
20240702	C. glabrata	7.5 mM Pi	2	0.5	12.292
20240702	C. glabrata	7.5 mM Pi	2	1	18.92
20240702	C. glabrata	7.5 mM Pi	2	2	18.396
20240702	C. glabrata	7.5 mM Pi	2	3	20.04
20240702	C. glabrata	7.5 mM Pi	2	4	22.836
20240702	C. glabrata	7.5 mM Pi	2	5	51.33
20240702	C. glabrata	7.5 mM Pi	2	6	86.431
20240702	C. glabrata	7.5 mM Pi	3	0	19.08
20240702	C. glabrata	7.5 mM Pi	3	0.5	18.013
20240702	C. glabrata	7.5 mM Pi	3	1	16.963
20240702	C. glabrata	7.5 mM Pi	3	2	17.186
20240702	C. glabrata	7.5 mM Pi	3	3	13.389
20240702	C. glabrata	7.5 mM Pi	3	4	24.615
20240702	C. glabrata	7.5 mM Pi	3	5	68.02
20240702	C. glabrata	7.5 mM Pi	3	6	81.142
20240731	S. cerevisiae	0 mM Pi	1	0	28.678
20240731	S. cerevisiae	0 mM Pi	1	0.5	23.186
20240731	S. cerevisiae	0 mM Pi	1	1	62.091
20240731	S. cerevisiae	0 mM Pi	1	2	50.71
20240731	S. cerevisiae	0 mM Pi	1	3	68.64
20240731	S. cerevisiae	0 mM Pi	1	4	70.061
20240731	S. cerevisiae	0 mM Pi	1	5	70.652
20240731	S. cerevisiae	0 mM Pi	1	6	73.288
20240731	S. cerevisiae	0 mM Pi	2	0	30.61
20240731	S. cerevisiae	0 mM Pi	2	0.5	32.092
20240731	S. cerevisiae	0 mM Pi	2	1	58.817
20240731	S. cerevisiae	0 mM Pi	2	2	49.107
20240731	S. cerevisiae	0 mM Pi	2	3	65.208
20240731	S. cerevisiae	0 mM Pi	2	4	70.681
20240731	S. cerevisiae	0 mM Pi	2	5	72.03
20240731	S. cerevisiae	0 mM Pi	2	6	77.106
20240731	S. cerevisiae	0 mM Pi	3	0	30.194
20240731	S. cerevisiae	0 mM Pi	3	0.5	35.576
20240731	S. cerevisiae	0 mM Pi	3	1	48.352
20240731	S. cerevisiae	0 mM Pi	3	2	33.65
20240731	S. cerevisiae	0 mM Pi	3	3	62.032
20240731	S. cerevisiae	0 mM Pi	3	4	73.113
20240731	S. cerevisiae	0 mM Pi	3	5	73.8
20240731	S. cerevisiae	0 mM Pi	3	6	81.974
20240702	K. lactis	7.5 mM Pi	1	0	16.37
20240702	K. lactis	7.5 mM Pi	1	0.5	14.12
20240702	K. lactis	7.5 mM Pi	1	1	9.25
20240702	K. lactis	7.5 mM Pi	1	2	13.61
